Date,Close,EMA30,SMA30,SMA60,SMA200
2013-12-23,4189.60791,4268.1444897139,4266.8136068,4371.9644515246,4617.4882763384
2013-12-24,4202.833984,4263.9309087001,4260.8867350333,4368.6212858525,4614.4935537172
2013-12-27,4212.97998,4260.6437520097,4257.9230306,4365.4587762459,4611.4701556717
2013-12-30,4274.176758,4261.5168491704,4254.8165527333,4363.0072601803,4609.7752139749
2014-01-02,4327.265137,4265.7586741917,4254.5437825667,4363.1890529016,4607.6423695779
2014-01-03,4257.663086,4265.2363781793,4250.0128255333,4361.7425637213,4604.7930374673
2014-01-06,4202.809082,4261.2088106839,4243.4952636667,4358.7131387705,4601.5493654925
2014-01-07,4175.806152,4255.6989617365,4237.6625976333,4354.7322057541,4598.0383656684
2014-01-08,4200.592773,4252.1437237535,4233.4755208,4351.6378714098,4594.7533443668
2014-01-09,4201.217773,4248.8581785436,4229.5841145333,4348.7896548361,4591.566303201
